ID,LastName,FirstName,Gender,DateOfBirth,Company,PolicyNumber,Coverage,IssueDate,IssueState,FaceAmount,PremiumAmount,CashValue
T-V19892401-11           ,Brock                    ,Arthur              ,M,19681020,TAI  ,V19892401      ,01  ,20090102,IL,1564777.00,274.32,416578
T-TM2712553-11           ,Brock                    ,Bill                ,M,19850421,TAI  ,TM2712553      ,01  ,20091020,NY,500000.00,495.00,0
T-TM2713151-11           ,Brock                    ,Bill                ,M,19820827,TAI  ,TM2713151      ,01  ,20091101,FL,500000.00,495.00,0
T-UL0061216-11           ,Brock                    ,Charles             ,M,19500131,TAI  ,UL0061216      ,01  ,20051002,WI,219460.00,1057.56,109301
T-LF2295073-11           ,Brock                    ,Deborah             ,F,19670720,TAI  ,LF2295073      ,01  ,20101120,TN,150000.00,260.70,0
T-LF2951929-11           ,Brock                    ,Dora                ,F,19510102,TAI  ,LF2951929      ,01  ,20081105,OH,100000.00,269.50,402
T-LF2719777-11           ,Brock                    ,Erica               ,F,19831209,TAI  ,LF2719777      ,01  ,20091005,OH,250000.00,203.50,0
T-V19897295-11           ,Brock                    ,Eric                ,M,19580111,TAI  ,V19897295      ,01  ,20090402,WA,1449996.00,621.36,582133
T-TM2712510-11           ,Brock                    ,Grace               ,F,19781108,TAI  ,TM2712510      ,01  ,20091020,NY,150000.00,148.50,0
T-LF2957879-11           ,Brock                    ,Jean                ,F,19420607,TAI  ,LF2957879      ,01  ,20081120,KY,100000.00,408.10,642
T-LF2248260-11           ,Brock                    ,Marcia              ,F,19491209,TAI  ,LF2248260      ,01  ,20100605,QE,150000.00,575.85,0
T-V19896447-11           ,Brock                    ,Paul                ,M,19570331,TAI  ,V19896447      ,01  ,20051231,OH,369368.00,797.88,130576
T-LF2710539-11           ,Brock                    ,Rebecca             ,F,19490813,TAI  ,LF2710539      ,01  ,20090720,AR,200000.00,737.00,0
T-TM2715649-11           ,Brock                    ,Regina              ,F,19730924,TAI  ,TM2715649      ,01  ,20090905,NY,500000.00,440.00,0
T-UL0061214-11           ,Brock                    ,Richard             ,M,19510117,TAI  ,UL0061214      ,01  ,20070324,IN,440000.00,6473.16,0
T-V19891453-11           ,Brock                    ,Robert              ,M,19700122,TAI  ,V19891453      ,01  ,20061231,CO,955390.00,948.24,161614
T-V19897520-11           ,Brock                    ,Stanley             ,M,19620819,TAI  ,V19897520      ,01  ,20081221,TX,500370.00,154.68,176526
T-TM2715869-11           ,Brock                    ,William             ,M,19760126,TAI  ,TM2715869      ,01  ,20091020,FL,500000.00,550.00,0
T-V19896442-11           ,Brock                    ,Zachary             ,M,19610424,TAI  ,V19896442      ,01  ,20051231,OH,417258.00,659.64,126475
T-LF2994776-11           ,Broderick                ,Angela              ,F,19281003,TAI  ,LF2994776      ,01  ,20080301,MI,100000.00,794.20,1154
T-V19891226-11           ,Broderick                ,Annette             ,F,19560807,TAI  ,V19891226      ,01  ,20080316,DE,1675407.00,799.56,558971
T-V19899771-11           ,Broderick                ,Anne                ,F,19560611,TAI  ,V19899771      ,01  ,20080727,DE,309650.00,426.48,111170
T-TM2973117-11           ,Broderick                ,Christopher         ,M,19730712,TAI  ,TM2973117      ,01  ,20080701,ID,1000000.00,770.00,0
T-V19891455-11           ,Broderick                ,Cheryl              ,F,19631005,TAI  ,V19891455      ,01  ,20061231,CO,700134.00,621.24,122298
T-V19891452-11           ,Broderick                ,Denise              ,F,19630313,TAI  ,V19891452      ,01  ,20061231,CO,771492.00,751.20,142596
T-TM2713557-11           ,Broderick                ,Eric                ,M,19850603,TAI  ,TM2713557      ,01  ,20091105,MO,250000.00,371.25,0
T-UL0061203-11           ,Broderick                ,Florence            ,F,19690303,TAI  ,UL0061203      ,01  ,20061109,NY,794839.00,467.52,142564
T-TM2713059-11           ,Broderick                ,Gary                ,M,19710226,TAI  ,TM2713059      ,01  ,20091105,IA,100000.00,297.00,0
T-V19897741-11           ,Broderick                ,Gregory             ,M,19431205,TAI  ,V19897741      ,01  ,20080316,DE,263508.00,630.72,150739
T-UL0061200-11           ,Broderick                ,Jeffrey             ,M,19590716,TAI  ,UL0061200      ,01  ,20060331,HI,166705.00,448.80,56696
T-UL0061200-11           ,Broderick                ,Jeffrey             ,M,19590716,TAI  ,UL0061200      ,51  ,20070331,HI,166705.00,553.96,55438
T-UL0061210-11           ,Broderick                ,Kelly               ,F,19540211,TAI  ,UL0061209      ,01  ,20060928,HI,59804.00,117.84,20538
T-UL0061210-11           ,Broderick                ,Kelly               ,F,19540211,TAI  ,UL0061210      ,01  ,20060928,HI,89707.00,177.72,30473
T-V19335616-11           ,Broderick                ,Madonna             ,F,19710122,TAI  ,V19335616      ,01  ,20071108,SC,341633.00,165.00,65368
T-V19897740-11           ,Broderick                ,Michele             ,F,19790801,TAI  ,V19897740      ,01  ,20080316,DE,982690.00,102.84,122391
